"timestamp","type.name","team.name","player.name","play_pattern.name"
"00:15:15.689","Carry","Australia","Aziz Eraltay Behich","Regular Play"
"00:15:16.609","Pass","Australia","Aziz Eraltay Behich","Regular Play"
"00:15:17.849","Ball Receipt*","Australia","Mark Milligan","Regular Play"
"00:15:17.849","Carry","Australia","Mark Milligan","Regular Play"
"00:15:21.329","Pass","Australia","Mark Milligan","Regular Play"
"00:15:21.889","Pressure","France","Paul Pogba","Regular Play"
"00:15:22.089","Ball Receipt*","Australia","Aaron Mooy","Regular Play"
"00:15:22.089","Carry","Australia","Aaron Mooy","Regular Play"
"00:15:22.929","Pass","Australia","Aaron Mooy","Regular Play"
"00:15:23.689","Ball Receipt*","Australia","Mark Milligan","Regular Play"
"00:15:23.689","Carry","Australia","Mark Milligan","Regular Play"
"00:15:24.529","Pass","Australia","Mark Milligan","Regular Play"
"00:15:25.529","Ball Receipt*","Australia","Aziz Eraltay Behich","Regular Play"
"00:15:25.529","Carry","Australia","Aziz Eraltay Behich","Regular Play"
"00:15:27.809","Pass","Australia","Aziz Eraltay Behich","Regular Play"
"00:15:28.889","Ball Receipt*","Australia","Mark Milligan","Regular Play"
"00:15:28.889","Carry","Australia","Mark Milligan","Regular Play"
"00:15:34.129","Pass","Australia","Mark Milligan","Regular Play"
"00:15:35.716","Ball Receipt*","Australia","Mathew Leckie","Regular Play"
"00:15:35.716","Interception","France","Raphaël Varane","Regular Play"
"00:15:41.249","Pass","Australia","Robbie Kruse","From Throw In"
"00:15:42.128","Ball Receipt*","Australia","Aziz Eraltay Behich","From Throw In"
"00:15:42.128","Carry","Australia","Aziz Eraltay Behich","From Throw In"
"00:15:43.889","Dispossessed","Australia","Aziz Eraltay Behich","From Throw In"
"00:15:43.889","Duel","France","Benjamin Pavard","From Throw In"
"00:15:46.571","Pass","Australia","Aziz Eraltay Behich","From Throw In"
"00:15:48.289","Ball Receipt*","Australia","Mile Jedinak","From Throw In"
"00:15:48.289","Carry","Australia","Mile Jedinak","From Throw In"
"00:15:49.569","Pass","Australia","Mile Jedinak","From Throw In"
"00:15:50.289","Ball Receipt*","Australia","Aaron Mooy","From Throw In"
"00:15:50.289","Carry","Australia","Aaron Mooy","From Throw In"
"00:15:51.849","Pass","Australia","Aaron Mooy","From Throw In"
"00:15:52.448","Pressure","France","Antoine Griezmann","From Throw In"
"00:15:52.729","Ball Receipt*","Australia","Trent Sainsbury","From Throw In"
"00:15:52.729","Pass","Australia","Trent Sainsbury","From Throw In"
"00:15:53.769","Ball Receipt*","Australia","Mark Milligan","From Throw In"
"00:15:53.769","Carry","Australia","Mark Milligan","From Throw In"
"00:15:55.009","Pass","Australia","Mark Milligan","From Throw In"
